titulo;tamanho;links;categorias;;;;;;;;;;;
Base da DSR;764;7;1;;;;;;;;;;;
Cidade de Grail;765;7;1;;;;;;;;;;;
Lorgan Movellan;766;9;2;;;;;;;;;;;
5 de Março;766;24;0;;;;;;;;;;;
6 de Maio;766;17;0;;;;;;;;;;;
Breha Organa;767;19;4;;;;;;;;;;;
Katrull;768;11;3;;;;;;;;;;;
Academia Judicial;768;8;1;;;;;;;;;;;
Dermos;769;2;0;;;;;;;;;;;
Star Wars: Rebellion (video game);770;8;3;;;;;;;;;;;
Gaulus;770;3;1;;;;;;;;;;;
Phindiano;771;6;2;;;;;;;;;;;
Pentir Bephorin;771;10;2;;;;;;;;;;;
Cartel Perlemiano;772;4;0;;;;;;;;;;;
8 de Janeiro;774;16;2;;;;;;;;;;;
Ivor Drake;774;4;1;;;;;;;;;;;
Dasha Bowen;774;8;1;;;;;;;;;;;
Star Wars: Dark Times;775;8;1;;;;;;;;;;;
22 ABY;775;8;1;;;;;;;;;;;
6 de Abril;775;21;0;;;;;;;;;;;
M2-M5;776;13;2;;;;;;;;;;;
Kade Hingo;777;10;0;;;;;;;;;;;
Lembrança;777;11;1;;;;;;;;;;;
HoloNet News — A Galaxy Divided (Parte 2);778;10;1;;;;;;;;;;;
Lasat;779;18;4;;;;;;;;;;;
Utapês;779;8;1;;;;;;;;;;;
5 de Abril;779;21;0;;;;;;;;;;;
Glen Taffral;780;9;2;;;;;;;;;;;
REBEL STORM - 02 C-3P0;781;7;1;;;;;;;;;;;
Agents of Chaos II: Jedi Eclipse;781;8;1;;;;;;;;;;;
Pommel;781;9;2;;;;;;;;;;;
Bar do Ergel;781;9;2;;;;;;;;;;;
26 de Fevereiro;782;22;0;;;;;;;;;;;
Droide Forense;782;4;0;;;;;;;;;;;
Atari 2600;783;9;1;;;;;;;;;;;
Operador;783;6;0;;;;;;;;;;;
Star Wars: Racer Revenge;785;8;3;;;;;;;;;;;
Super Star Wars: The Empire Strikes Back;785;7;1;;;;;;;;;;;
Dark Journey;786;7;1;;;;;;;;;;;
Turbolaser;786;13;2;;;;;;;;;;;
Nintendo 64;787;12;1;;;;;;;;;;;
Mordal;787;2;0;;;;;;;;;;;
Star Wars Log Book;788;7;1;;;;;;;;;;;
Cobb Vanth;788;11;2;;;;;;;;;;;
Insurreição de Belnar;788;6;1;;;;;;;;;;;
Wynnet Ree;789;18;4;;;;;;;;;;;
RA-7;789;8;1;;;;;;;;;;;
Lula da Terra Vendaxana;789;6;1;;;;;;;;;;;
Wookieepedia;790;10;2;;;;;;;;;;;
Fex;790;10;1;;;;;;;;;;;
11 de Março;790;20;0;;;;;;;;;;;
Makarial Gravin;791;14;3;;;;;;;;;;;
Sistema Omereth;791;9;1;;;;;;;;;;;
Enguia gigante de Omereth;791;12;3;;;;;;;;;;;
Destruição de Ivarujar;792;10;1;;;;;;;;;;;
Esquadrão Dourado;793;11;1;;;;;;;;;;;
Sistema Exodeen;793;9;1;;;;;;;;;;;
The Cestus Deception;794;8;1;;;;;;;;;;;
4 de Abril;794;15;0;;;;;;;;;;;
Telaris;794;3;0;;;;;;;;;;;
20 de Abril;794;20;0;;;;;;;;;;;
Star Wars: Rebellion (quadrinhos);795;9;1;;;;;;;;;;;
Timothy Truman;795;7;2;;;;;;;;;;;
Pujool;795;16;1;;;;;;;;;;;
Tynnano;795;6;1;;;;;;;;;;;
Esquadrão Verde;796;11;1;;;;;;;;;;;
Velusiano;796;5;1;;;;;;;;;;;
Sistema Nanth'ri;797;9;1;;;;;;;;;;;
David Bowers;799;8;1;;;;;;;;;;;
Triunvirato;799;10;1;;;;;;;;;;;
Rifle blaster E-11;799;5;1;;;;;;;;;;;
Genndy Tartakovsky;800;8;1;;;;;;;;;;;
Strater;800;13;3;;;;;;;;;;;
Motok;800;14;2;;;;;;;;;;;
REBEL STORM - 15 Rebel Commando;801;7;1;;;;;;;;;;;
Mos Pelgo;802;7;1;;;;;;;;;;;
Esquadrão Amarelo;803;11;1;;;;;;;;;;;
Esquadrão Vermelho;803;11;1;;;;;;;;;;;
Ruuf Waluuk;803;16;2;;;;;;;;;;;
Base escondida do Ryloth Livre;803;8;1;;;;;;;;;;;
Sistema Del Zennis;803;3;1;;;;;;;;;;;
Ikkrukkiano;804;7;1;;;;;;;;;;;
Dug;805;12;1;;;;;;;;;;;
Glacial Beta;806;9;1;;;;;;;;;;;
47 ABY;807;4;1;;;;;;;;;;;
Maborn;807;8;1;;;;;;;;;;;
Fortaleza Residencial dos Aberto;808;10;1;;;;;;;;;;;
The Art of Star Wars: The Clone Wars;809;7;2;;;;;;;;;;;
Enemy Lines II: Rebel Stand;809;7;1;;;;;;;;;;;
Togruta;809;21;1;;;;;;;;;;;
Universo Geek;809;7;1;;;;;;;;;;;
Garos;810;4;1;;;;;;;;;;;
Mon Cal;811;8;1;;;;;;;;;;;
TX-828;812;15;0;;;;;;;;;;;
Ur Ur;813;14;2;;;;;;;;;;;
Cartao;813;4;1;;;;;;;;;;;
Freemarch;813;8;0;;;;;;;;;;;
Coruscant Nights II: Street of Shadows;814;7;1;;;;;;;;;;;
Rebel Dawn;814;7;1;;;;;;;;;;;
Sistema Prindaar;815;6;1;;;;;;;;;;;
3 de Abril;815;19;0;;;;;;;;;;;
Star Wars: The Clone Wars: The Official Episode Guide: Season 1;816;7;1;;;;;;;;;;;
Phorsa Gedd;816;12;2;;;;;;;;;;;
Sistema Gorse;816;7;1;;;;;;;;;;;
5 de Fevereiro;817;18;0;;;;;;;;;;;
Sistema Kupoh;817;10;1;;;;;;;;;;;
Vermia;817;9;1;;;;;;;;;;;
REBEL STORM - 20 Wookiee Soldier;818;7;1;;;;;;;;;;;
Donta Gesset;818;19;3;;;;;;;;;;;
Floresta Equatorial;818;9;2;;;;;;;;;;;
Padawan Duros não identificado;819;16;3;;;;;;;;;;;
12 de Março;819;19;0;;;;;;;;;;;
Marilena Pet;819;7;0;;;;;;;;;;;
Dark Nest III: The Swarm War;820;8;1;;;;;;;;;;;
Migg Birkhit;821;14;2;;;;;;;;;;;
Kourterel;822;13;2;;;;;;;;;;;
Sistema Kowak;822;9;1;;;;;;;;;;;
2015;823;3;1;;;;;;;;;;;
7 de Janeiro;824;17;1;;;;;;;;;;;
Setor Metatessu;824;10;1;;;;;;;;;;;
Ella Alda Mattea;824;7;0;;;;;;;;;;;
Deslizador;825;7;1;;;;;;;;;;;
15 de Janeiro;826;18;1;;;;;;;;;;;
Dark Nest II: The Unseen Queen;826;9;1;;;;;;;;;;;
Dan Cragg;827;11;1;;;;;;;;;;;
The Dark Forces Saga;828;8;1;;;;;;;;;;;
LucasArts;829;8;2;;;;;;;;;;;
Plexis;829;7;1;;;;;;;;;;;
42 ABY;830;7;1;;;;;;;;;;;
Forma II;832;13;1;;;;;;;;;;;
Canhão de íons;832;3;1;;;;;;;;;;;
Ergel;832;13;2;;;;;;;;;;;
REBEL STORM - 07 Han Solo;833;7;1;;;;;;;;;;;
Devaroniano;833;8;1;;;;;;;;;;;
Star Wars: The Old Republic: Revan;834;6;1;;;;;;;;;;;
Star Wars: Republic at War;834;6;0;;;;;;;;;;;
WA-7;834;4;1;;;;;;;;;;;
10 de Fevereiro;834;19;0;;;;;;;;;;;
Februs Temmt;837;12;3;;;;;;;;;;;
Batalha do Poço de Escória;837;6;1;;;;;;;;;;;
Fortaleza de Slussen Canker;837;11;1;;;;;;;;;;;
Droide de batalha (desambiguação);838;13;0;;;;;;;;;;;
Esquadrão Corona;838;17;1;;;;;;;;;;;
Eladro;838;10;1;;;;;;;;;;;
21 de Fevereiro;840;21;0;;;;;;;;;;;
2003;841;18;1;;;;;;;;;;;
Corporação de Caças da Aliança;841;14;1;;;;;;;;;;;
Via Hydiana;841;8;1;;;;;;;;;;;
Jason Court;842;7;1;;;;;;;;;;;
Delan Vook;842;17;3;;;;;;;;;;;
Celia Imrie;844;11;1;;;;;;;;;;;
Mercurial Swift;844;13;2;;;;;;;;;;;
Shirene;844;15;3;;;;;;;;;;;
22 de Março;845;18;0;;;;;;;;;;;
Mineradora Kellux;845;6;1;;;;;;;;;;;
The New Essential Guide to Droids;846;8;1;;;;;;;;;;;
Editora Europa;846;8;1;;;;;;;;;;;
Academia Naval de Prefsbelt;846;9;2;;;;;;;;;;;
Sistema Lola Sayu;846;9;2;;;;;;;;;;;
Vorlaggn;847;6;1;;;;;;;;;;;
Esquadrão Rampant;850;12;1;;;;;;;;;;;
Haidoral Prime;850;12;2;;;;;;;;;;;
Nemenov;850;11;1;;;;;;;;;;;
Thrinaka;850;11;1;;;;;;;;;;;
Sistema Felucia;850;6;1;;;;;;;;;;;
Jogo da Respawn Studios;851;7;1;;;;;;;;;;;
Pernilla August;853;7;1;;;;;;;;;;;
Academia Espacial;853;6;1;;;;;;;;;;;
The Unifying Force;854;7;1;;;;;;;;;;;
Setor Elochar;854;10;1;;;;;;;;;;;
15 de Fevereiro;854;23;0;;;;;;;;;;;
24 de Fevereiro;856;17;2;;;;;;;;;;;
HoloNet News — A Galaxy Divided (Parte 1);856;9;1;;;;;;;;;;;
Star Wars: X-wing Alliance;856;5;1;;;;;;;;;;;
Conselho Jedi Goiás;856;9;3;;;;;;;;;;;
Zygerriano;856;10;1;;;;;;;;;;;
REBEL STORM - 03 Chewbacca;857;7;1;;;;;;;;;;;
Legacy of the Force: Revelation;858;9;1;;;;;;;;;;;
Nova Academia;859;11;1;;;;;;;;;;;
Azmorigan;860;11;3;;;;;;;;;;;
Sern Prime;860;5;1;;;;;;;;;;;
Cratertown;860;11;2;;;;;;;;;;;
Guerreiro não identificado (Carnelion IV);861;24;2;;;;;;;;;;;
27 de Fevereiro;861;20;0;;;;;;;;;;;
Star Wars 1;862;15;0;;;;;;;;;;;
Star Wars: Return of the Jedi Death Star Battle;863;6;1;;;;;;;;;;;
Alan Ladd_ Jr.;863;9;1;;;;;;;;;;;
Maketh Tua;863;14;4;;;;;;;;;;;
Base Militar de Garos;863;10;1;;;;;;;;;;;
15 de Março;864;20;2;;;;;;;;;;;
Verge;864;21;3;;;;;;;;;;;
Nowk;864;17;3;;;;;;;;;;;
Posto Avançado Imperial em Endor;865;12;1;;;;;;;;;;;
Água da Vida;865;8;1;;;;;;;;;;;
21 de Março;865;21;0;;;;;;;;;;;
Base Aérea de Lothal;865;13;1;;;;;;;;;;;
Jedi vs. Sith;866;8;0;;;;;;;;;;;
Farnay;866;17;2;;;;;;;;;;;
Sotna;866;17;3;;;;;;;;;;;
Loo Re Anno;869;15;4;;;;;;;;;;;
Xan;869;6;0;;;;;;;;;;;
Ediouro;870;7;1;;;;;;;;;;;
Echani;870;10;1;;;;;;;;;;;
Azzur Nessin;870;14;2;;;;;;;;;;;
Chenza Hill;870;11;1;;;;;;;;;;;
Ewoks and Droids Adventure Hour;871;7;2;;;;;;;;;;;
Corjentain Malaqua;871;11;1;;;;;;;;;;;
Bothawui;871;5;1;;;;;;;;;;;
Tribunal da República;871;10;1;;;;;;;;;;;
Colônias;872;11;1;;;;;;;;;;;
Kathryn Mullen;873;11;2;;;;;;;;;;;
Ray Park;874;15;1;;;;;;;;;;;
Celebration I;874;7;1;;;;;;;;;;;
FN-2000;874;14;2;;;;;;;;;;;
Promessa de Apailana;874;14;1;;;;;;;;;;;
24 de Janeiro;875;18;2;;;;;;;;;;;
Star Wars Hyperspace;876;5;1;;;;;;;;;;;
Tantor;877;12;3;;;;;;;;;;;
Cidade de Cawa;877;8;1;;;;;;;;;;;
16 de Fevereiro;878;23;0;;;;;;;;;;;
Corporação Mekuun;879;8;1;;;;;;;;;;;
Death Star (romance);882;10;1;;;;;;;;;;;
Kozem Pel;883;5;0;;;;;;;;;;;
Travis Lanham;883;6;1;;;;;;;;;;;
Estação de Comunicações de Myrra;884;11;1;;;;;;;;;;;
Kirdo III;885;7;1;;;;;;;;;;;
Talmoor Pryce;886;10;0;;;;;;;;;;;
Star Wars Customizable Card Game;887;8;1;;;;;;;;;;;
Legacy of the Force: Fury;889;9;1;;;;;;;;;;;
Parker Brothers;889;10;1;;;;;;;;;;;
;;;;Vinho Alderaaniano;889;15;1;;;;;;;
;;;;Aurelant;890;14;3;;;;;;;
;;;;Chuck Wendig;890;4;0;;;;;;;
;;;;Janus Greejatus;891;10;1;;;;;;;
;;;;Campo de destroços de Carnelion IV;892;13;2;;;;;;;
;;;;Rebecca Roanhorse;893;2;0;;;;;;;
;;;;Gerador de escudo da Estrela da Morte;894;13;1;;;;;;;
;;;;Deltura;895;16;3;;;;;;;
;;;;Batalha de Mygeeto (Companhia do Crepúsculo);895;11;1;;;;;;;
;;;;22 de Janeiro;896;23;1;;;;;;;
;;;;Leigh Brackett;897;7;1;;;;;;;
;;;;Kenth Leesha;897;8;1;;;;;;;
;;;;Crymorah;897;9;1;;;;;;;
;;;;Slikartha;897;7;2;;;;;;;
;;;;Legacy of the Force: Tempest;898;10;1;;;;;;;
;;;;Catta Dionize;898;7;2;;;;;;;
;;;;Grande Exército da República;899;16;1;;;;;;;
;;;;Chicote de corrente elétrica Bilari;900;6;1;;;;;;;
;;;;Hendri Underholt;900;8;2;;;;;;;
;;;;Operação Corsário;900;12;1;;;;;;;
;;;;Nanth'ri;902;9;1;;;;;;;
;;;;Sistema Annaj;902;6;1;;;;;;;
;;;;Orkin Kaw;903;12;2;;;;;;;
;;;;Rigger;903;11;2;;;;;;;
;;;;Clã Chekkoo;903;16;1;;;;;;;
;;;;Jonne;903;12;3;;;;;;;
;;;;9 de Abril;904;25;0;;;;;;;
;;;;5251977;905;8;2;;;;;;;
;;;;Alcazar;905;10;1;;;;;;;
;;;;Catherine Taber;906;12;1;;;;;;;
;;;;Gaelan;906;8;1;;;;;;;
;;;;Arif Prianto;906;8;1;;;;;;;
;;;;Angela Harry;907;8;1;;;;;;;
;;;;Cerk Lormin;907;17;2;;;;;;;
;;;;Star Wars: Vector;908;13;1;;;;;;;
;;;;Cápsula de Defesa para Todo Terreno;908;7;3;;;;;;;
;;;;Morna Kee;908;15;3;;;;;;;
;;;;Power of the Jedi Sourcebook;909;10;1;;;;;;;
;;;;Bad Robot Productions;909;5;1;;;;;;;
;;;;Setor Sprizen;909;5;0;;;;;;;
;;;;Mark Paniccia;909;10;0;;;;;;;
;;;;Batalha da Torre;911;13;1;;;;;;;
;;;;Nyessa;912;14;4;;;;;;;
;;;;Star Wars: The Clone Wars: Visual Guide Ultimate Battles;913;6;1;;;;;;;
;;;;Rancho Obi-Wan;913;10;1;;;;;;;
;;;;Kerkoidiano;913;6;1;;;;;;;
;;;;30 DBY;913;7;1;;;;;;;
;;;;Star Wars: Yoda Stories;914;13;2;;;;;;;
;;;;Sistema Denon;914;9;1;;;;;;;
;;;;Nymos Lyle;914;10;2;;;;;;;
;;;;Battle Orders;914;11;3;;;;;;;
;;;;Star Wars Episode I: Obi-Wan's Adventures;915;11;1;;;;;;;
;;;;Palácio Ducal;915;14;1;;;;;;;
;;;;Ponto de Encontro Delta-Três;915;10;1;;;;;;;
;;;;21 de Janeiro;917;21;1;;;;;;;
;;;;30 de Outubro;917;23;1;;;;;;;
;;;;19 ABY;917;13;1;;;;;;;
;;;;Seisluas;917;15;1;;;;;;;
;;;;Departamento Judicial;918;8;1;;;;;;;
;;;;Galápagos Jogos;919;12;1;;;;;;;
;;;;Planeta DeAgostini;920;16;1;;;;;;;
;;;;Massa;920;16;3;;;;;;;
;;;;Dantooine;921;9;1;;;;;;;
;;;;O Mundo Que Foi;921;13;1;;;;;;;
;;;;Kora Biedies;921;12;1;;;;;;;
;;;;Star Wars: Behind the Magic;923;13;2;;;;;;;
;;;;Jedipedia;924;9;2;;;;;;;
;;;;Lobo-javali;924;7;1;;;;;;;
;;;;22 de Abril;924;21;0;;;;;;;
;;;;Esquadrão Feral;925;13;1;;;;;;;
;;;;Aria Prime;925;4;0;;;;;;;
;;;;DeVores;925;9;2;;;;;;;
;;;;Hugh Quarshie;927;13;1;;;;;;;
;;;;Executores Hylobon;928;10;1;;;;;;;
;;;;Gideon Hask;929;17;3;;;;;;;
;;;;2 de Fevereiro;929;24;0;;;;;;;
;;;;26 de Março;930;23;0;;;;;;;
;;;;Toomata Wree;931;14;2;;;;;;;
;;;;Sistema Lasan;931;9;1;;;;;;;
;;;;James Arnold Taylor;932;10;1;;;;;;;
;;;;Mothar Drik;932;17;3;;;;;;;
;;;;Kupoh;932;11;1;;;;;;;
;;;;Feenix;932;4;0;;;;;;;
;;;;From Heir to Last Command;934;13;1;;;;;;;
;;;;Aniversário;934;9;1;;;;;;;
;;;;Blevins;934;17;2;;;;;;;
;;;;Funeral de CT-1157;934;19;1;;;;;;;
;;;;Drew Z. Greenberg;935;17;1;;;;;;;
;;;;18 de Janeiro;937;18;1;;;;;;;
;;;;Posto Avançado Muralha;937;9;1;;;;;;;
;;;;31 de Março;937;26;0;;;;;;;
;;;;MedStar II: Jedi Healer;938;10;1;;;;;;;
;;;;Mandíbula;938;11;1;;;;;;;
;;;;600 ABY;938;9;1;;;;;;;
;;;;Legacy of the Force: Sacrifice;939;10;1;;;;;;;
;;;;IDW Publishing;941;3;1;;;;;;;
;;;;Lua Sentinela;941;12;1;;;;;;;
;;;;Sistema Obroa-skai;941;6;1;;;;;;;
;;;;Super Star Wars;943;10;1;;;;;;;
;;;;Grande Templo (Yavin 4);943;13;3;;;;;;;
;;;;Antar;944;8;1;;;;;;;
;;;;Lohgarra;945;14;3;;;;;;;
;;;;Setor Mirrin;945;20;1;;;;;;;
;;;;Barrisk Favvin;945;16;4;;;;;;;
;;;;REBEL STORM - 14 R2-D2;946;8;1;;;;;;;
;;;;Dark Tide II: Ruin;946;13;1;;;;;;;
;;;;REBEL STORM - 04 Commando on Speeder Bike;947;7;1;;;;;;;
;;;;G2-1B7;947;14;1;;;;;;;
;;;;Espaçador;947;11;2;;;;;;;
;;;;HoloNet News — A Galaxy Divided;948;8;1;;;;;;;
;;;;Brisney;948;19;6;;;;;;;
;;;;18 de Abril;948;21;0;;;;;;;
;;;;Daisie;949;13;4;;;;;;;
;;;;1992;950;23;1;;;;;;;
;;;;Corey Burton;950;9;1;;;;;;;
;;;;Able Nereno;950;17;3;;;;;;;
;;;;Rota Comercial Rimma;950;11;1;;;;;;;
;;;;Mar Celadon;950;17;2;;;;;;;
;;;;Slussen Canker;950;7;2;;;;;;;
;;;;Legacy of the Force: Exile;951;13;1;;;;;;;
;;;;Rohr;952;13;3;;;;;;;
;;;;Fondor;952;7;2;;;;;;;
;;;;The Complete Star Wars Encyclopedia;953;10;1;;;;;;;
;;;;Mynocks da Myder;953;13;1;;;;;;;
;;;;Star Wars: The Clone Wars Character Encyclopedia;954;5;2;;;;;;;
;;;;13 de Fevereiro;954;23;0;;;;;;;
;;;;20 de Janeiro;955;18;2;;;;;;;
;;;;Legacy of the Force: Bloodlines;955;12;1;;;;;;;
;;;;Aqualish;956;11;1;;;;;;;
;;;;Murra Mors;957;11;2;;;;;;;
;;;;Star Wars: Obi-Wan;961;17;2;;;;;;;
;;;;Star Wars Galaxies: The Complete Online Adventures;961;8;1;;;;;;;
;;;;Star Wars 12 (Ediouro);962;10;1;;;;;;;
;;;;Star Wars: The New Droid Army;962;11;1;;;;;;;
;;;;Editora Seguinte;962;9;1;;;;;;;
;;;;Rhen Var;963;8;2;;;;;;;
;;;;Sistema Cvetaen;963;8;1;;;;;;;
;;;;Rinnrivin Di;964;7;2;;;;;;;
;;;;Adam McArthur;965;5;1;;;;;;;
;;;;Imra;966;12;2;;;;;;;
;;;;Travia Chan;966;8;2;;;;;;;
;;;;Petroglyph;967;10;1;;;;;;;
;;;;B3;968;10;1;;;;;;;
;;;;14 de Março;968;22;0;;;;;;;
;;;;14 de Janeiro;969;22;2;;;;;;;
;;;;Matthew Wood;969;16;2;;;;;;;
;;;;Star Wars: Lethal Alliance;970;14;1;;;;;;;
;;;;Rusty Miller;970;8;1;;;;;;;
;;;;Exodeen;970;11;1;;;;;;;
;;;;Tarlor Choh;970;9;2;;;;;;;
;;;;Rede Rainha do Núcleo;970;9;0;;;;;;;
;;;;11 de Fevereiro;972;25;0;;;;;;;
;;;;Talvee Chawin;972;10;0;;;;;;;
;;;;Lynnta Ballast;975;17;2;;;;;;;
;;;;12 de Janeiro;978;20;1;;;;;;;
;;;;Mineradora Dalborg;978;12;1;;;;;;;
;;;;Fábrica de Dróides de Akiva;978;11;1;;;;;;;
;;;;Base Equatorial Alpha;981;11;1;;;;;;;
;;;;Embarcação de desembarque classe Sentinel;981;8;4;;;;;;;
;;;;Rota Comercial de Triellus;983;12;1;;;;;;;
;;;;Goroth;985;9;0;;;;;;;
;;;;Ooblamon;986;14;3;;;;;;;
;;;;Sha Qarot;986;13;2;;;;;;;
;;;;Nível 2685;986;18;1;;;;;;;
;;;;Ros;986;13;3;;;;;;;
;;;;Lar Um;987;17;2;;;;;;;
;;;;Calladan Chemworks;987;12;1;;;;;;;
;;;;Guerreiros Mon Calamari;987;10;2;;;;;;;
;;;;6 de Fevereiro;987;22;0;;;;;;;
;;;;Joe Caramagna;987;4;1;;;;;;;
;;;;Delia Leighton;988;19;2;;;;;;;
;;;;Yelkin;988;13;3;;;;;;;
;;;;Estaleiros Botajef;988;7;1;;;;;;;
;;;;Filho de Sakhet;989;17;3;;;;;;;
;;;;Drakka;989;13;2;;;;;;;
;;;;Faa-Char;989;10;1;;;;;;;
;;;;12 de Abril;989;21;0;;;;;;;
;;;;Curtis;990;19;2;;;;;;;
;;;;Ord Cestus;991;6;1;;;;;;;
;;;;19 de Janeiro;992;20;1;;;;;;;
;;;;Therbon;992;12;1;;;;;;;
;;;;Capacete de combate avançado ACH-14;993;13;1;;;;;;;
;;;;Lightsaber Unleashed;994;11;1;;;;;;;
;;;;Terence Stamp;995;11;1;;;;;;;
;;;;Geonosis and the Outer Rim Worlds;995;12;1;;;;;;;
;;;;Kolob;996;10;0;;;;;;;
;;;;Maximillian Veers;997;12;3;;;;;;;
;;;;Phoca Soot;997;17;2;;;;;;;
;;;;Transcept Media Solutions;997;11;1;;;;;;;
;;;;Fayet Kelen;998;16;2;;;;;;;
;;;;Narawal;998;9;0;;;;;;;
;;;;Associação Cyndana de Mineração;999;13;1;;;;;;;
;;;;Super Star Wars: Return of the Jedi;1000;11;1;;;;;;;
;;;;Portanave;1000;8;1;;;;;;;
;;;;Gareth Edwards;1001;11;2;;;;;;;
;;;;Corwin Ballast;1002;18;2;;;;;;;
;;;;Forças Especiais Descobridores;1002;15;1;;;;;;;
;;;;Star Wars: Ewok Adventure;1003;7;1;;;;;;;
;;;;3 de Fevereiro;1003;23;0;;;;;;;
;;;;Daniel Wallace;1003;4;0;;;;;;;
;;;;Fate of the Jedi: Abyss;1004;16;1;;;;;;;
;;;;Sistema Llanic;1004;14;1;;;;;;;
;;;;R5-G4;1004;10;1;;;;;;;
;;;;The Clone Wars: No Prisoners;1005;8;1;;;;;;;
;;;;Star Wars in 100 Scenes;1005;9;0;;;;;;;
;;;;CT-1409;1005;25;7;;;;;;;
;;;;Transporte médio GR-75;1005;9;2;;;;;;;
;;;;Gotal;1006;9;1;;;;;;;
;;;;Ghadi;1006;15;3;;;;;;;
;;;;Senex;1007;6;1;;;;;;;
;;;;Novaldex 04-Z;1007;6;0;;;;;;;
;;;;Cikatro Vizago;1008;11;3;;;;;;;
;;;;Onderon;1008;15;2;;;;;;;
;;;;Setor Nilgaard;1008;9;1;;;;;;;
;;;;Yoda: Dark Rendezvous;1010;8;1;;;;;;;
;;;;Sue Rostoni;1011;12;1;;;;;;;
;;;;Utheel Equipamentos;1011;15;1;;;;;;;
;;;;Star Wars: Jedi Knight: Mysteries of the Sith;1012;9;1;;;;;;;
;;;;REBEL STORM - 09 Luke Skywalker_ Jedi Knight;1012;7;1;;;;;;;
;;;;Hope (trailer cinematográfico);1012;11;2;;;;;;;
;;;;Zellit;1013;12;2;;;;;;;
;;;;Galidraan IV;1013;8;1;;;;;;;
;;;;Q'anah;1014;10;1;;;;;;;
;;;;29 de Janeiro;1015;20;2;;;;;;;
;;;;1 DBY;1015;12;1;;;;;;;
;;;;Era da Nova República;1015;7;0;;;;;;;
;;;;Saltbite;1015;11;1;;;;;;;
;;;;Heck Ensio;1016;10;1;;;;;;;
;;;;Carver;1017;15;2;;;;;;;
;;;;Sexos;1018;9;2;;;;;;;
;;;;Moonglow Polychemical;1018;9;1;;;;;;;
;;;;Yablari;1018;7;1;;;;;;;
;;;;Ewoks: A Batalha por Endor;1020;12;1;;;;;;;
;;;;Webb Taffral;1020;14;3;;;;;;;
;;;;Herglic;1020;13;2;;;;;;;
;;;;Sistema Thustra;1021;11;1;;;;;;;
;;;;Anakin (desambiguação);1022;18;0;;;;;;;
;;;;Moroff;1024;15;3;;;;;;;
;;;;Tin Withrafisp;1024;11;3;;;;;;;
;;;;Thustra;1024;8;1;;;;;;;
;;;;Kellux;1024;6;1;;;;;;;
;;;;Zare Leonis;1026;13;3;;;;;;;
;;;;Sistema Sesid;1026;12;1;;;;;;;
;;;;Sistema Galidraan;1026;10;1;;;;;;;
;;;;Manchucho;1027;15;4;;;;;;;
;;;;Erskin Semaj;1027;3;0;;;;;;;
;;;;Esquadrão Rapier (Resistência);1028;8;1;;;;;;;
;;;;Tseebo;1029;14;3;;;;;;;
;;;;Ithoriano;1029;7;1;;;;;;;
;;;;Star Wars: Starfighter;1030;12;2;;;;;;;
;;;;Lexrul;1030;9;1;;;;;;;
;;;;Allison Gibbons;1031;5;1;;;;;;;
;;;;11-4D;1031;11;1;;;;;;;
;;;;Ikkrukk;1031;9;1;;;;;;;
;;;;Fate of the Jedi: Conviction;1032;16;1;;;;;;;
;;;;Ronnadam;1032;20;3;;;;;;;
;;;;Gangue de Surat Nuat;1032;12;0;;;;;;;
;;;;Cataratas Nebulosas;1033;14;1;;;;;;;
;;;;Mike Quinn;1035;19;1;;;;;;;
;;;;Sistema Suntilla;1035;14;1;;;;;;;
;;;;P. Craig Russell;1036;8;1;;;;;;;
;;;;Kars Tal-Korla;1036;16;2;;;;;;;
;;;;Volk Aymeric;1036;19;3;;;;;;;
;;;;Aquaris;1036;7;1;;;;;;;
;;;;2 de Maio;1036;24;0;;;;;;;
;;;;Ordem do Osso Sangrento;1037;12;1;;;;;;;
;;;;Streamdrinker;1037;13;1;;;;;;;
;;;;28 de Fevereiro;1037;27;0;;;;;;;
;;;;Comics Star Wars 19;1038;10;0;;;;;;;
;;;;Sate Pestage;1038;10;1;;;;;;;
;;;;Abran Balfour;1038;16;3;;;;;;;
;;;;Frota de Zahra;1038;10;0;;;;;;;
;;;;The Essential Guide to Characters;1039;8;2;;;;;;;
;;;;Star Wars: X-Wing;1042;10;2;;;;;;;
;;;;Macaco da areia;1043;12;1;;;;;;;
;;;;Pomi Harchmak;1043;10;2;;;;;;;
;;;;Anos 1920;1044;39;1;;;;;;;
;;;;Deng Tharand;1044;13;2;;;;;;;
;;;;Jintar Oarr;1045;18;4;;;;;;;
;;;;Gotra Droide;1045;11;2;;;;;;;
;;;;O Arquivo Rebelde;1045;14;1;;;;;;;
;;;;Krovis;1046;14;1;;;;;;;
;;;;Block;1046;12;3;;;;;;;
;;;;Oficial de portão do escudo não identificado;1047;13;2;;;;;;;
;;;;Esmelle;1047;17;3;;;;;;;
;;;;O Ante;1047;19;3;;;;;;;
;;;;Dorae;1047;19;4;;;;;;;
;;;;Petição dos 2.000;1048;15;0;;;;;;;
;;;;Tropa de megablaster de Assalto Pesado;1051;7;1;;;;;;;
;;;;Alistar Sinclar;1053;13;3;;;;;;;
;;;;Sistema Murkhana;1055;11;1;;;;;;;
;;;;Estaleiro-Base Móvel Dois de Carida;1055;11;1;;;;;;;
;;;;Raquel Novaes;1056;12;1;;;;;;;
;;;;Setor Suolriep;1056;8;0;;;;;;;
